ULID	Type	Name - Common	Unit	Stub	Name - Full	BioTrack Path	LeafData Path	METRC Path
018NY6XC00LM50KG4SS3BDPAGX	Cannabinoid	CBC	pct, mg/g			1-CBD	cannabinoid_cbc_percent	
018NY6XC00LMT10GKMBED4KZWK	Cannabinoid	CBCV	pct		tetrahydrocannabinolic acid			
018NY6XC00LMK7KHD3HPW0Y90N	Cannabinoid	CBD	pct				cannabinoid_cbd_percent	
018NY6XC00LMENDHEH2Y32X903	Cannabinoid	CBDA	pct		cannabidiolic acid		cannabinoid_cbda_percent	
018NY6XC00LMZGPEH1Z4VY04RJ	Cannabinoid	CBDV	pct				cannabinoid_cbdv_percent	
018NY6XC00LMDGYF2W1G9T0W9C	Cannabinoid	CBE	pct					
018NY6XC00LMXRFMR5NJ35ZBAX	Cannabinoid	CBG	pct				cannabinoid_cbg_percent	
018NY6XC00LMAKFJY80QDMWF7F	Cannabinoid	CBGA	pct				cannabinoid_cbga_percent	
018NY6XC00LMETFEEFJT0JAKNE	Cannabinoid	CBGV	pct					
018NY6XC00LMZZ776J7YTKR49R	Cannabinoid	CBL	pct					
018NY6XC00LM3W3G1ERAF2QEF5	Cannabinoid	CBN	pct				cannabinoid_cbn_percent	
018NY6XC00LMA46E79SNHBKR6H	Cannabinoid	CBNA	pct					
018NY6XC00LMQKS6HXP2KFY91E	Cannabinoid	CBT	pct					
018NY6XC00LM9YAJZS3XTFFMPF	Cannabinoid	CVB	pct					
018NY6XC00LM877GAKMFPK7BMC	Cannabinoid	Delta-8 THC	pct				cannabinoid_d8_thc_percent	
018NY6XC00LM49CV7QP9KM9QH9	Cannabinoid	THC	pct		Tetrahydrocannabinol	1-THC	cannabinoid_d9_thc_percent	
018NY6XC00LMB0JPRM2SF8F9F2	Cannabinoid	THCA	pct			1-THCA	cannabinoid_d9_thca_percent	
018NY6XC00LMEXWB3ENZ1MK7R4	Cannabinoid	THCV	pct				cannabinoid_thcv_percent	
018NY6XC00LM0PXPG4592M8J14	General	Moisture				1-moisture	moisture_content_percent	
018NY6XC00LMHGENRW0DAPFQRZ	General	Other	bool			3-Other	foreign_matter	
018NY6XC00LMA50497RDC53DB5	General	Seeds	bool				foreign_matter_seeds	
018NY6XC00LMQAZZSDXPYH62SS	General	Stems	bool			3-Stems	foreign_matter_stems	
018NY6XC00LMHF4266DN94JPPX	General	Water Activity Rate					moisture_content_water_activity_rate	
018NY6XC00LMFMNAAFST4N27X8	Heavy Metal		In Progress	in_progress			in_progress	
018NY6XC00LMT396G8AAG2KHJJ	Heavy Metal		Not Started	not_started			not_started	
018NY6XC00LMYX4MT4RJ7CB1PK	Heavy Metal		Completed	completed			completed	
018NY6XC00LM4E4T6EPA7WPHDK	Metal	Arsenic	ppm				metal_arsenic_ppm	
018NY6XC00LMGNGNEW1XMNRS8S	Metal	Cadmium	ppm				metal_cadmium_ppm	
018NY6XC00LM6YBP4J5ASBWVNR	Metal	Lead	ppm				metal_lead_ppm	
018NY6XC00LM10ZPAN42R490W3	Metal	Mercury	ppm				metal_mercury_ppm	
018NY6XC00LMFPY3XH8NNXM9TH	Microbe	Bacteria	cfu/g			4-aerobic_bacteria	microbial_aerobic_bacteria_cfu_g	
018NY6XC00LM638QCGB50ZKYKJ	Microbe	Bile Tolerant Bacteria					microbial_bile_tolerant_cfu_g	
018NY6XC00LMTMR8TN8WE86JVY	Microbe	Coliforms	cfu/g			4-coliforms	microbial_total_coliform_cfu_g	
018NY6XC00LM7S8H2RT4K4GYME	Microbe	E.Coli	cfu/g			4-e_coli_and_salmonella	microbial_pathogenic_e_coli_cfu_g	
018NY6XC00LMW173QX3Z69B8GR	Microbe	Mold	cfu/g			4-yeast_and_mold	microbial_total_yeast_mold_cfu_g	
018NY6XC00LMX227M153SSW8N9	Microbe	Plate Count					microbial_total_viable_plate_count_cfu_g	
018NY6XC00LMS96WE6KHKNP52T	Microbe	Salmonella	cfu/g				microbial_salmonella_cfu_g	
018NY6XC00LMCPKZ3QB78GQXWP	Microbe	Yeast	cfu/g			4-yeast_and_mold	microbial_total_yeast_mold_cfu_g	
018NY6XC00LMWP6DGTRHM529CE	Microbial		Completed	completed			completed	
018NY6XC00LMJEBQVTS6S09S8K	Microbial		Not Started	not_started			not_started	
018NY6XC00LMDQ97MXKK3HY95Q	Microbial		In Progress	in_progress			in_progress	
018NY6XC00LMDZ7WWCBQ052NSD	Mycotoxin		In Progress	in_progress			in_progress	
018NY6XC00LMHRSGA907396NT7	Mycotoxin		Completed	completed			completed	
018NY6XC00LMPAXVEV0BQNQTYZ	Mycotoxin		Not Started	not_started			not_started	
018NY6XC00LMR9PB7SNBP97DAS	Mycotoxin	Aflatoxin					mycotoxin_aflatoxins_ppb	
018NY6XC00LMK15566W1G0ZH5X	Mycotoxin	Ochratoxin					mycotoxin_ochratoxin_ppb	
018NY6XC00LMGZM1K01HQG6A04	Pesticide	Abamectin	ppb				pesticide_abamectin_ppm	
018NY6XC00LMME2KAJD5CJZCFC	Pesticide	Acephate	ppb				pesticide_acephate_ppm	
018NY6XC00LMB7TEPP64SS0VXD	Pesticide	Acequinocyl	ppb				pesticide_acequinocyl_ppm	
018NY6XC00LMHPJYYDQT7FCM8P	Pesticide	Acetamiprid	ppb				pesticide_acetamiprid_ppm	
018NY6XC00LME4KJM6Y8XP8WGA	Pesticide	Aldicarb	ppb				pesticide_aldicarb_ppm	
018NY6XC00LMA5GGMB8GXE0SJW	Pesticide	Avermectin B1a						
018NY6XC00LMJ195SKA604Y6CC	Pesticide	Avermectin B1b						
018NY6XC00LMK2VVW868567PHD	Pesticide	Azoxystrobin	ppb				pesticide_azoxystrobin_ppm	
018NY6XC00LMKCE4E30P3R72SK	Pesticide	Bifenazate	ppb				pesticide_bifenazate_ppm	
018NY6XC00LMPH4K88KC1PKJVJ	Pesticide	Bifenthrin	ppb				pesticide_bifenthrin_ppm	
018NY6XC00LM3P767WQ0KSFARZ	Pesticide	Boscalid					pesticide_boscalid_ppm	
018NY6XC00LMQ5673126W386W5	Pesticide	Captan					pesticide_captan_ppm	
018NY6XC00LMZP42VJGA642TEB	Pesticide	Carbaryl					pesticide_carbaryl_ppm	
018NY6XC00LM7N4CCX5ZRVADDN	Pesticide	Carbofuran					pesticide_carbofuran_ppm	
018NY6XC00LMKKEFRB9BJ8KP0P	Pesticide	Chlorantraniliprole					pesticide_chlorantraniliprole_ppm	
018NY6XC00LMR0FZPVYAEJ8JET	Pesticide	Chlorfenapyr					pesticide_chlorfenapyr_ppm	
018NY6XC00LMXCM3VG0XGR6KAH	Pesticide	Chlorpyrifos					pesticide_chlorpyrifos_ppm	
018NY6XC00LM230ECKQSRFZ2BE	Pesticide	Clofentezine					pesticide_clofentezine_ppm	
018NY6XC00LMCQDJ36Y13GX6W3	Pesticide	Cyfluthrin					pesticide_cyfluthrin_ppm	
018NY6XC00LM7CX800BM0FSGJR	Pesticide	Cypermethrin					pesticide_cypermethrin_ppm	
018NY6XC00LM8H6MET0WJ2YCV1	Pesticide	Daminozide					pesticide_daminozide_ppm	
018NY6XC00LM1FYB8674M2X435	Pesticide	Diazinon					pesticide_diazinon_ppm	
018NY6XC00LMXVVJP95SCEWYMJ	Pesticide	Dichlorvos						
018NY6XC00LMMGQYZ01JNTDSZ1	Pesticide	Dimethoate					pesticide_dimethoate_ppm	
018NY6XC00LMYY49X6ZPKWMK0F	Pesticide	Dimethomorph					pesticide_dimethomorph_ppm	
018NY6XC00LMYBVS4P9WE8MT73	Pesticide	Ethoprophos					pesticide_ethoprophos_ppm	
018NY6XC00LMJHEQ07C7YKJBFM	Pesticide	Etofenprox					pesticide_etofenprox_ppm	
018NY6XC00LMNPCTGHS6PVWKS3	Pesticide	Etoxazole					pesticide_etoxazole_ppm	
018NY6XC00LMGBF92WAYA1Y3ZT	Pesticide	Fenhexamid					pesticide_fenhexamid_ppm	
018NY6XC00LMGN496XNG04YCKA	Pesticide	Fenoxycarb					pesticide_fenoxycarb_ppm	
