#
# Table of Well-Known ULIDs
#
# First Part: Well Known Time of 018NY6XC00
# Second Part: XX is a Descriptor
# Third Part: normal ULID random data, or fixed well-known value
#
# Example:
# 018NY6XC00 - XX - 0123456789ABCD
# 018NY6XC00XX0123456789ABCD
#


#
# System Objects
018NY6XC00C0MPANY000000000	System Company
018NY6XC00C0NTACT000000000	System Contact
018NY6XC00L1CENSE000000000	System License
018NY6XC00PR0DUCT000000000	System Product
018NY6XC00PR0DUCT0TYPE0000	System Product Type
018NY6XC00VAR1ETY000000000	System Variety (Strain)


#
# Sloppy Data Handling Fallback Objects
018NY6XC00C0MPANY000000001	Unknown Company
018NY6XC00C0NTACT000000001	Unknown Contact
018NY6XC00L1CENSE000000001	Unknown License
018NY6XC00PR0DUCT000000001	Unknown Product
018NY6XC00PR0DUCT0TYPE0001	Unknown Product Type
018NY6XC00VAR1ETY000000001	Unknown Variety (Strain)


#
# Plant Stages
018NY6XC00PS00000000000001	Unknown
018NY6XC00PS00000000000002	Seedling / Clone
018NY6XC00PS00000000000003	Growing / Vegetative
018NY6XC00PS00000000000004	Flowering
018NY6XC00PS00000000000005	Harvested / Collected


#
# Laboratory Metrics
# see lab-metric.tsv
# use ./bin/lab-metric.php

#
# Product Type
# use ./bin/product-type.php
